id,begin,end,phone_goodness,phone_id,word_interval_id,utterance_id,workflow_id
1,0.0,0.09,-65.0291976928711,2,1,1,1
2,0.09,0.15,-51.33665466308594,10,2,1,1
3,0.15,0.22,-40.6710319519043,48,3,1,1
4,0.22,0.33,-39.35538864135742,20,3,1,1
5,0.33,0.37,-58.33649444580078,60,3,1,1
6,0.37,0.43,-55.633026123046875,68,4,1,1
7,0.43,0.5,-31.2574462890625,27,4,1,1
8,0.5,0.54,-46.80640411376953,48,4,1,1
9,0.54,0.62,-52.89637756347656,23,4,1,1
10,0.62,0.67,-49.62713623046875,29,4,1,1
11,0.67,0.71,-50.1470832824707,24,4,1,1
12,0.71,0.76,-39.07697677612305,38,5,1,1
13,0.76,0.79,-46.86349868774414,48,5,1,1
14,0.79,0.86,-51.87605667114258,60,5,1,1
15,0.86,0.9,-45.42215347290039,66,5,1,1
16,0.9,0.95,-44.840248107910156,10,6,1,1
17,0.95,1.08,-52.96706008911133,45,7,1,1
18,1.08,1.19,-31.502771377563477,33,7,1,1
19,1.19,1.24,-58.78993606567383,68,7,1,1
20,1.24,1.29,-53.0053596496582,60,8,1,1
21,1.29,1.33,-47.09020233154297,10,8,1,1
22,1.33,1.41,-46.95109176635742,35,9,1,1
23,1.41,1.5,-34.28153991699219,20,9,1,1
24,1.5,1.53,-46.660030364990234,48,9,1,1
25,1.53,1.56,-53.6492919921875,24,9,1,1
26,1.56,1.6,-42.562713623046875,10,10,1,1
27,1.6,1.68,-39.32135009765625,46,11,1,1
28,1.68,1.78,-20.343517303466797,5,11,1,1
29,1.78,1.88,-44.15430450439453,58,11,1,1
30,1.88,1.92,-60.62544250488281,60,11,1,1
31,1.92,1.98,-53.81674575805664,60,12,1,1
32,1.98,2.02,-38.12423324584961,57,12,1,1
33,2.02,2.08,-32.10740280151367,27,12,1,1
34,2.08,2.17,-46.72023010253906,72,12,1,1
35,2.17,2.38,-35.93098068237305,29,12,1,1
36,2.38,2.79,-51.54986572265625,2,13,1,1
37,2.79,2.85,-47.67241287231445,38,14,1,1
38,2.85,2.91,-46.28427505493164,48,14,1,1
39,2.91,2.99,-44.024864196777344,58,14,1,1
40,2.99,3.06,-51.2366943359375,60,14,1,1
41,3.06,3.26,-27.14801025390625,27,14,1,1
42,3.26,3.36,-48.274024963378906,24,14,1,1
43,3.36,3.47,-51.0843505859375,2,15,1,1
44,3.47,3.56,-45.13825988769531,37,16,1,1
45,3.56,3.61,-43.489871978759766,42,16,1,1
46,3.61,3.7,-44.55683135986328,35,17,1,1
47,3.7,3.81,-42.65510559082031,17,17,1,1
48,3.81,3.84,-57.20077133178711,48,17,1,1
49,3.84,3.87,-65.13565826416016,24,17,1,1
50,3.87,3.92,-50.89291000366211,10,18,1,1
51,3.92,3.99,-39.18167495727539,47,19,1,1
52,3.99,4.07,-30.47585678100586,39,19,1,1
53,4.07,4.16,-24.387920379638672,57,19,1,1
54,4.16,4.23,-34.01736831665039,29,19,1,1
55,4.23,4.28,-46.6563720703125,25,20,1,1
56,4.28,4.33,-41.9671516418457,8,20,1,1
57,4.33,4.39,-52.5669059753418,60,20,1,1
58,4.39,4.43,-49.0191764831543,57,21,1,1
59,4.43,4.48,-47.61592483520508,38,21,1,1
60,4.48,4.59,-40.85698318481445,35,21,1,1
61,4.59,4.62,-46.45933532714844,46,21,1,1
62,4.62,4.68,-41.66520309448242,27,21,1,1
63,4.68,4.73,-49.62677764892578,45,21,1,1
64,4.73,4.78,-47.650482177734375,60,21,1,1
65,4.78,4.81,-51.72426986694336,38,21,1,1
66,4.81,4.85,-52.77737808227539,24,21,1,1
67,4.85,4.89,-51.063133239746094,37,22,1,1
68,4.89,4.94,-41.562007904052734,38,22,1,1
69,4.94,5.0,-46.43840408325195,71,22,1,1
70,5.0,5.11,-49.697227478027344,60,23,1,1
71,5.11,5.15,-43.872413635253906,57,23,1,1
72,5.15,5.22,-34.48303985595703,66,23,1,1
73,5.22,5.28,-39.32387161254883,38,23,1,1
74,5.28,5.34,-45.46431350708008,58,23,1,1
75,5.34,5.37,-50.64482116699219,60,23,1,1
76,5.37,5.45,-42.31157684326172,58,24,1,1
77,5.45,5.55,-23.09990692138672,27,24,1,1
78,5.55,5.65,-26.70243263244629,46,24,1,1
79,5.65,5.8,-39.410274505615234,35,24,1,1
80,5.8,6.125,-46.97966384887695,2,25,1,1
